"listing_id","season","available_days","total_days","availability_ratio","room_type"
"1001276333837548637","Winter","0","90","0","Entire home/apt"
"1002484368180309167","Autumn","91","91","1","Private room"
"1002484368180309167","Spring","24","92","0.26087","Private room"
"1002484368180309167","Summer","92","92","1","Private room"
"1002484368180309167","Winter","19","90","0.211111","Private room"
"1002600943242421876","Autumn","91","91","1","Entire home/apt"
"1002600943242421876","Spring","61","92","0.663043","Entire home/apt"
"1002600943242421876","Summer","92","92","1","Entire home/apt"
"1002600943242421876","Winter","20","90","0.222222","Entire home/apt"
"1002624271327937697","Autumn","0","91","0","Private room"
"1002624271327937697","Spring","61","92","0.663043","Private room"
"1002624271327937697","Summer","22","92","0.23913","Private room"
"1002624271327937697","Winter","0","90","0","Private room"
"1002706500578055991","Autumn","21","91","0.230769","Private room"
"1002706500578055991","Spring","51","92","0.554348","Private room"
"1002706500578055991","Summer","85","92","0.923913","Private room"
"1002706500578055991","Winter","0","90","0","Private room"
"1002729774654216726","Autumn","91","91","1","Entire home/apt"
"1002729774654216726","Spring","68","92","0.73913","Entire home/apt"
"1002729774654216726","Summer","92","92","1","Entire home/apt"
"1002729774654216726","Winter","20","90","0.222222","Entire home/apt"
"1002888940201965116","Autumn","91","91","1","Entire home/apt"
"1002888940201965116","Spring","53","92","0.576087","Entire home/apt"
"1002888940201965116","Summer","92","92","1","Entire home/apt"
"1002888940201965116","Winter","20","90","0.222222","Entire home/apt"
"1003285461880781498","Autumn","91","91","1","Entire home/apt"
"1003285461880781498","Spring","67","92","0.728261","Entire home/apt"
"1003285461880781498","Summer","92","92","1","Entire home/apt"
"1003285461880781498","Winter","20","90","0.222222","Entire home/apt"
"1004198332215882874","Autumn","91","91","1","Private room"
"1004198332215882874","Spring","45","92","0.48913","Private room"
"1004198332215882874","Summer","83","92","0.902174","Private room"
"1004198332215882874","Winter","20","90","0.222222","Private room"
"1004238485910556468","Autumn","91","91","1","Entire home/apt"
"1004238485910556468","Spring","68","92","0.73913","Entire home/apt"
"1004238485910556468","Summer","92","92","1","Entire home/apt"
"1004238485910556468","Winter","62","90","0.688889","Entire home/apt"
"10044794","Autumn","89","182","0.489011","Entire home/apt"
"10044794","Spring","4","116","0.0344828","Entire home/apt"
"10044794","Summer","51","161","0.31677","Entire home/apt"
"10044794","Winter","20","181","0.110497","Entire home/apt"
"1004754437983390975","Autumn","91","91","1","Entire home/apt"
"1004754437983390975","Spring","62","92","0.673913","Entire home/apt"
"1004754437983390975","Summer","92","92","1","Entire home/apt"
"1004754437983390975","Winter","20","90","0.222222","Entire home/apt"
"1005012053228458455","Autumn","91","91","1","Private room"
"1005012053228458455","Spring","86","92","0.934783","Private room"
"1005012053228458455","Summer","92","92","1","Private room"
"1005012053228458455","Winter","90","90","1","Private room"
"1005493555919793480","Autumn","0","91","0","Entire home/apt"
"1005493555919793480","Spring","11","92","0.119565","Entire home/apt"
"1005493555919793480","Summer","11","92","0.119565","Entire home/apt"
"1005493555919793480","Winter","0","90","0","Entire home/apt"
"1005573939015951606","Autumn","91","91","1","Entire home/apt"
"1005573939015951606","Spring","67","92","0.728261","Entire home/apt"
"1005573939015951606","Summer","89","92","0.967391","Entire home/apt"
"1005573939015951606","Winter","19","90","0.211111","Entire home/apt"
"1005682343180416923","Autumn","18","91","0.197802","Private room"
"1005682343180416923","Spring","13","92","0.141304","Private room"
"1005682343180416923","Summer","34","92","0.369565","Private room"
"1005682343180416923","Winter","0","90","0","Private room"
"1006251637873151406","Autumn","61","91","0.67033","Entire home/apt"
"1006251637873151406","Spring","14","92","0.152174","Entire home/apt"
"1006251637873151406","Summer","61","92","0.663043","Entire home/apt"
"1006251637873151406","Winter","6","90","0.0666667","Entire home/apt"
"1006299079251369895","Autumn","91","91","1","Entire home/apt"
"1006299079251369895","Spring","91","92","0.98913","Entire home/apt"
"1006299079251369895","Summer","92","92","1","Entire home/apt"
"1006299079251369895","Winter","90","90","1","Entire home/apt"
"1006339920306548221","Autumn","82","91","0.901099","Entire home/apt"
"1006339920306548221","Spring","32","92","0.347826","Entire home/apt"
"1006339920306548221","Summer","66","92","0.717391","Entire home/apt"
"1006339920306548221","Winter","11","90","0.122222","Entire home/apt"
"1006432481832523757","Autumn","91","91","1","Private room"
"1006432481832523757","Spring","79","92","0.858696","Private room"
"1006432481832523757","Summer","92","92","1","Private room"
"1006432481832523757","Winter","90","90","1","Private room"
"1006444230356121903","Autumn","52","91","0.571429","Private room"
"1006444230356121903","Spring","56","92","0.608696","Private room"
"1006444230356121903","Summer","92","92","1","Private room"
"1006444230356121903","Winter","0","90","0","Private room"
"1006452144092034627","Autumn","52","91","0.571429","Private room"
"1006452144092034627","Spring","61","92","0.663043","Private room"
"1006452144092034627","Summer","92","92","1","Private room"
"1006452144092034627","Winter","0","90","0","Private room"
"1006484250981025776","Autumn","52","91","0.571429","Private room"
"1006484250981025776","Spring","11","92","0.119565","Private room"
"1006484250981025776","Summer","78","92","0.847826","Private room"
"1006484250981025776","Winter","0","90","0","Private room"
"1006528261037885108","Autumn","81","91","0.89011","Entire home/apt"
"1006528261037885108","Spring","28","92","0.304348","Entire home/apt"
"1006528261037885108","Summer","75","92","0.815217","Entire home/apt"
"1006528261037885108","Winter","38","90","0.422222","Entire home/apt"
"10067257","Autumn","91","91","1",
"10067257","Spring","24","24","1",
"10067257","Summer","61","69","0.884058",
"10067257","Winter","91","91","1",
"1006875146278069299","Autumn","91","91","1","Private room"
"1006875146278069299","Spring","44","92","0.478261","Private room"
"1006875146278069299","Summer","92","92","1","Private room"
"1006875146278069299","Winter","90","90","1","Private room"
"1006887707989183210","Autumn","91","91","1","Private room"
"1006887707989183210","Spring","35","92","0.380435","Private room"
"1006887707989183210","Summer","78","92","0.847826","Private room"
"1006887707989183210","Winter","90","90","1","Private room"
"1006892715293048516","Autumn","91","91","1","Private room"
"1006892715293048516","Spring","85","92","0.923913","Private room"
"1006892715293048516","Summer","92","92","1","Private room"
"1006892715293048516","Winter","90","90","1","Private room"
"1006896136009289698","Autumn","91","91","1","Private room"
"1006896136009289698","Spring","80","92","0.869565","Private room"
"1006896136009289698","Summer","92","92","1","Private room"
"1006896136009289698","Winter","90","90","1","Private room"
"1006898718533812182","Autumn","91","91","1","Private room"
"1006898718533812182","Spring","79","92","0.858696","Private room"
"1006898718533812182","Summer","92","92","1","Private room"
"1006898718533812182","Winter","90","90","1","Private room"
"1006906074920578420","Autumn","91","91","1","Entire home/apt"
"1006906074920578420","Spring","65","92","0.706522","Entire home/apt"
"1006906074920578420","Summer","92","92","1","Entire home/apt"
"1006906074920578420","Winter","20","90","0.222222","Entire home/apt"
"1007108920344776439","Autumn","91","91","1","Entire home/apt"
"1007108920344776439","Spring","58","92","0.630435","Entire home/apt"
"1007108920344776439","Summer","92","92","1","Entire home/apt"
"1007108920344776439","Winter","20","90","0.222222","Entire home/apt"
"1007151786715797852","Autumn","91","91","1","Entire home/apt"
"1007151786715797852","Spring","56","92","0.608696","Entire home/apt"
"1007151786715797852","Summer","92","92","1","Entire home/apt"
"1007151786715797852","Winter","20","90","0.222222","Entire home/apt"
"1007216493865850284","Autumn","91","91","1","Shared room"
"1007216493865850284","Spring","66","92","0.717391","Shared room"
"1007216493865850284","Summer","89","92","0.967391","Shared room"
"1007216493865850284","Winter","90","90","1","Shared room"
"1007255161130861248","Autumn","91","91","1","Entire home/apt"
"1007255161130861248","Spring","92","92","1","Entire home/apt"
"1007255161130861248","Summer","92","92","1","Entire home/apt"
"1007255161130861248","Winter","90","90","1","Entire home/apt"
"1007548213232956209","Autumn","41","91","0.450549","Entire home/apt"
"1007548213232956209","Spring","31","92","0.336957","Entire home/apt"
"1007548213232956209","Summer","34","92","0.369565","Entire home/apt"
"1007548213232956209","Winter","74","90","0.822222","Entire home/apt"
"1008355411655259131","Autumn","91","91","1","Entire home/apt"
"1008355411655259131","Spring","67","92","0.728261","Entire home/apt"
"1008355411655259131","Summer","92","92","1","Entire home/apt"
"1008355411655259131","Winter","20","90","0.222222","Entire home/apt"
"1008423406412734988","Autumn","20","91","0.21978","Entire home/apt"
"1008423406412734988","Spring","61","92","0.663043","Entire home/apt"
"1008423406412734988","Summer","92","92","1","Entire home/apt"
"1008423406412734988","Winter","0","90","0","Entire home/apt"
"1008573676055094621","Autumn","21","91","0.230769","Entire home/apt"
"1008573676055094621","Spring","62","92","0.673913","Entire home/apt"
"1008573676055094621","Summer","92","92","1","Entire home/apt"
"1008573676055094621","Winter","0","90","0","Entire home/apt"
"1008590","Autumn","182","182","1","Shared room"
"1008590","Spring","116","116","1","Shared room"
"1008590","Summer","114","161","0.708075","Shared room"
"1008590","Winter","181","181","1","Shared room"
"1009641425679817604","Autumn","91","91","1","Private room"
"1009641425679817604","Spring","67","92","0.728261","Private room"
"1009641425679817604","Summer","92","92","1","Private room"
"1009641425679817604","Winter","19","90","0.211111","Private room"
"1009721522595671100","Autumn","0","91","0","Private room"
"1009721522595671100","Spring","68","92","0.73913","Private room"
"1009721522595671100","Summer","23","92","0.25","Private room"
"1009721522595671100","Winter","0","90","0","Private room"
"1009725252896955291","Autumn","0","91","0","Private room"
"1009725252896955291","Spring","18","92","0.195652","Private room"
"1009725252896955291","Summer","23","92","0.25","Private room"
"1009725252896955291","Winter","0","90","0","Private room"
"10098064","Autumn","103","182","0.565934","Private room"
"10098064","Spring","45","116","0.387931","Private room"
"10098064","Summer","155","161","0.962733","Private room"
"10098064","Winter","20","181","0.110497","Private room"
"1009874404389306582","Autumn","72","91","0.791209","Entire home/apt"
"1009874404389306582","Spring","45","92","0.48913","Entire home/apt"
"1009874404389306582","Summer","67","92","0.728261","Entire home/apt"
"1009874404389306582","Winter","87","90","0.966667","Entire home/apt"
"1009911956986583983","Autumn","0","91","0","Entire home/apt"
"1009911956986583983","Spring","61","92","0.663043","Entire home/apt"
"1009911956986583983","Summer","23","92","0.25","Entire home/apt"
"1009911956986583983","Winter","0","90","0","Entire home/apt"
"10099218","Autumn","69","91","0.758242",
"10099218","Spring","0","24","0",
"10099218","Summer","54","69","0.782609",
"10099218","Winter","20","91","0.21978",
"1009983286504119287","Autumn","57","91","0.626374","Private room"
"1009983286504119287","Spring","20","92","0.217391","Private room"
"1009983286504119287","Summer","64","92","0.695652","Private room"
"1009983286504119287","Winter","0","90","0","Private room"
"1009995922840622695","Autumn","57","91","0.626374","Private room"
"1009995922840622695","Spring","56","92","0.608696","Private room"
"1009995922840622695","Summer","92","92","1","Private room"
"1009995922840622695","Winter","0","90","0","Private room"
"1010001863749021153","Autumn","91","91","1","Private room"
"1010001863749021153","Spring","26","92","0.282609","Private room"
"1010001863749021153","Summer","81","92","0.880435","Private room"
"1010001863749021153","Winter","90","90","1","Private room"
"1010008246611237468","Autumn","91","91","1","Shared room"
"1010008246611237468","Spring","62","92","0.673913","Shared room"
"1010008246611237468","Summer","92","92","1","Shared room"
"1010008246611237468","Winter","90","90","1","Shared room"
"1010013596827707042","Autumn","57","91","0.626374","Private room"
"1010013596827707042","Spring","50","92","0.543478","Private room"
"1010013596827707042","Summer","92","92","1","Private room"
"1010013596827707042","Winter","0","90","0","Private room"
"1010021940844808683","Autumn","91","91","1","Private room"
"1010021940844808683","Spring","44","92","0.478261","Private room"
"1010021940844808683","Summer","64","92","0.695652","Private room"
"1010021940844808683","Winter","90","90","1","Private room"
"1010023859049007324","Autumn","0","91","0","Private room"
"1010023859049007324","Spring","28","92","0.304348","Private room"
"1010023859049007324","Summer","43","92","0.467391","Private room"
"1010023859049007324","Winter","0","90","0","Private room"
"1010025812469892118","Autumn","91","91","1","Private room"
"1010025812469892118","Spring","74","92","0.804348","Private room"
"1010025812469892118","Summer","92","92","1","Private room"
"1010025812469892118","Winter","90","90","1","Private room"
"1010030372277710473","Autumn","91","91","1","Private room"
"1010030372277710473","Spring","62","92","0.673913","Private room"
"1010030372277710473","Summer","92","92","1","Private room"
"1010030372277710473","Winter","90","90","1","Private room"
"1010034052996467043","Autumn","91","91","1","Private room"
"1010034052996467043","Spring","80","92","0.869565","Private room"
"1010034052996467043","Summer","92","92","1","Private room"
"1010034052996467043","Winter","90","90","1","Private room"
"1010037150210512465","Autumn","91","91","1","Private room"
"1010037150210512465","Spring","26","92","0.282609","Private room"
"1010037150210512465","Summer","81","92","0.880435","Private room"
"1010037150210512465","Winter","90","90","1","Private room"
"1010037394963942658","Autumn","0","91","0","Private room"
"1010037394963942658","Spring","60","92","0.652174","Private room"
"1010037394963942658","Summer","61","92","0.663043","Private room"
"1010037394963942658","Winter","0","90","0","Private room"
"1010053140460100349","Autumn","0","91","0","Entire home/apt"
"1010053140460100349","Spring","52","92","0.565217","Entire home/apt"
"1010053140460100349","Summer","61","92","0.663043","Entire home/apt"
"1010053140460100349","Winter","0","90","0","Entire home/apt"
"1010463914384320162","Autumn","91","91","1","Entire home/apt"
"1010463914384320162","Spring","68","92","0.73913","Entire home/apt"
"1010463914384320162","Summer","92","92","1","Entire home/apt"
"1010463914384320162","Winter","20","90","0.222222","Entire home/apt"
"1010506951311312280","Autumn","0","91","0","Entire home/apt"
"1010506951311312280","Spring","60","92","0.652174","Entire home/apt"
"1010506951311312280","Summer","0","92","0","Entire home/apt"
"1010506951311312280","Winter","0","90","0","Entire home/apt"
"1010595387264948675","Autumn","81","91","0.89011","Entire home/apt"
"1010595387264948675","Spring","46","92","0.5","Entire home/apt"
"1010595387264948675","Summer","92","92","1","Entire home/apt"
"1010595387264948675","Winter","20","90","0.222222","Entire home/apt"
"1010738844180227880","Autumn","21","91","0.230769","Entire home/apt"
"1010738844180227880","Spring","23","92","0.25","Entire home/apt"
"1010738844180227880","Summer","77","92","0.836957","Entire home/apt"
"1010738844180227880","Winter","0","90","0","Entire home/apt"
"1010764568282784515","Autumn","91","91","1","Entire home/apt"
"1010764568282784515","Spring","54","92","0.586957","Entire home/apt"
"1010764568282784515","Summer","92","92","1","Entire home/apt"
"1010764568282784515","Winter","31","90","0.344444","Entire home/apt"
"1010768197066918403","Autumn","91","91","1","Entire home/apt"
"1010768197066918403","Spring","84","92","0.913043","Entire home/apt"
"1010768197066918403","Summer","92","92","1","Entire home/apt"
"1010768197066918403","Winter","90","90","1","Entire home/apt"
"1010769394166050465","Autumn","91","91","1","Entire home/apt"
"1010769394166050465","Spring","83","92","0.902174","Entire home/apt"
"1010769394166050465","Summer","91","92","0.98913","Entire home/apt"
"1010769394166050465","Winter","90","90","1","Entire home/apt"
"1010778169290346740","Autumn","91","91","1","Entire home/apt"
"1010778169290346740","Spring","78","92","0.847826","Entire home/apt"
"1010778169290346740","Summer","91","92","0.98913","Entire home/apt"
"1010778169290346740","Winter","90","90","1","Entire home/apt"
"1010782043452327354","Autumn","91","91","1","Entire home/apt"
"1010782043452327354","Spring","89","92","0.967391","Entire home/apt"
"1010782043452327354","Summer","91","92","0.98913","Entire home/apt"
"1010782043452327354","Winter","90","90","1","Entire home/apt"
"1010786757636984312","Autumn","91","91","1","Entire home/apt"
"1010786757636984312","Spring","84","92","0.913043","Entire home/apt"
"1010786757636984312","Summer","91","92","0.98913","Entire home/apt"
"1010786757636984312","Winter","90","90","1","Entire home/apt"
"1010805662179362830","Autumn","91","91","1","Entire home/apt"
"1010805662179362830","Spring","24","92","0.26087","Entire home/apt"
"1010805662179362830","Summer","65","92","0.706522","Entire home/apt"
"1010805662179362830","Winter","90","90","1","Entire home/apt"
"1010805746068483522","Autumn","91","91","1","Entire home/apt"
"1010805746068483522","Spring","89","92","0.967391","Entire home/apt"
"1010805746068483522","Summer","91","92","0.98913","Entire home/apt"
"1010805746068483522","Winter","90","90","1","Entire home/apt"
"1011121015019510667","Autumn","21","91","0.230769","Entire home/apt"
"1011121015019510667","Spring","32","92","0.347826","Entire home/apt"
"1011121015019510667","Summer","88","92","0.956522","Entire home/apt"
"1011121015019510667","Winter","0","90","0","Entire home/apt"
"1011143686644154530","Autumn","91","91","1","Entire home/apt"
"1011143686644154530","Spring","17","92","0.184783","Entire home/apt"
"1011143686644154530","Summer","92","92","1","Entire home/apt"
"1011143686644154530","Winter","20","90","0.222222","Entire home/apt"
"1011151557602529202","Autumn","91","91","1","Entire home/apt"
"1011151557602529202","Spring","91","92","0.98913","Entire home/apt"
"1011151557602529202","Summer","92","92","1","Entire home/apt"
"1011151557602529202","Winter","90","90","1","Entire home/apt"
"1011157987530205678","Autumn","91","91","1","Entire home/apt"
"1011157987530205678","Spring","39","92","0.423913","Entire home/apt"
"1011157987530205678","Summer","92","92","1","Entire home/apt"
"1011157987530205678","Winter","90","90","1","Entire home/apt"
"1011168158860999469","Autumn","91","91","1","Entire home/apt"
"1011168158860999469","Spring","67","92","0.728261","Entire home/apt"
"1011168158860999469","Summer","92","92","1","Entire home/apt"
"1011168158860999469","Winter","31","90","0.344444","Entire home/apt"
"1011175056971453349","Autumn","0","91","0","Entire home/apt"
"1011175056971453349","Spring","0","92","0","Entire home/apt"
