id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35985934,"1506-彌敦道328號,廟街夜市,市中心,佐敦站B1出口2分鐘,洗衣乾衣機,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30791,114.17088,Private room,697,2,6,2022-08-28,0.11,22,0,0,
35986048,COmfort Room in Fortress Hill ( F1e),4584648,Ivy,,Wan Chai,22.25959,114.19227,Private room,240,30,0,,,323,364,0,
35986159,Fortress Hill Room Available  ( F1c),4584648,Ivy,,Wan Chai,22.25792,114.19044,Private room,170,30,0,,,323,364,0,
35986270,Fortress Hill Room in flat sharing apartment(F3d),4584648,Ivy,,Wan Chai,22.25855,114.18996,Private room,148,30,0,,,323,364,0,
35986422,Flat Share Room in Fortress Hill,4584648,Ivy,,Wan Chai,22.25783,114.18993,Private room,160,31,1,2020-08-11,0.02,323,364,0,
36009519,Room available in Tai Kok Tsui - TK2b,4584648,Ivy,,Yau Tsim Mong,22.32147,114.16234,Shared room,180,30,0,,,323,364,0,
36017712,Nice Room Available..Central 3/walkup (ML3d),4584648,Ivy,,Wan Chai,22.25979,114.19023,Private room,260,29,0,,,323,364,0,
36017865,Cozy Room Available in Central 3/ walk up ( ML3f),4584648,Ivy,,Wan Chai,22.25783,114.19065,Private room,260,29,0,,,323,364,0,
36018324,Affordable Central Room Available 3/walk up  ML3h),4584648,Ivy,,Wan Chai,22.25961,114.19049,Private room,160,29,0,,,323,364,0,
36018596,Good Room from Causeway Bay (C12B),7518056,Jovee,,Wan Chai,22.25992,114.19146,Private room,174,29,0,,,225,364,0,
36018758,Excellent Causeway Bay Room (C12C),7518056,Jovee,,Wan Chai,22.25757,114.19216,Private room,160,29,0,,,225,364,0,
36019339,Good and Economy Yau Ma Tei Room (Y2a),7518056,Jovee,,Yau Tsim Mong,22.31255,114.17241,Private room,160,29,0,,,225,364,0,
36048026,"T1D廟街夜市,小陽台,市中心,佐敦站A出口4分鐘,廚房,即熱熱水器,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30671,114.17099,Entire home/apt,1147,1,0,,,22,0,0,
36054332,"T1CD-3寝室,3小陽台,廟街夜市,佐敦站A出口4分鐘,廚房,即熱熱水器,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.3066,114.16916,Entire home/apt,3307,3,0,,,22,0,0,
36056984,"T2AB-4寝室,4小陽台,廟街夜市,佐敦站A出口4分鐘,廚房,即熱熱水器,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30855,114.16961,Entire home/apt,2786,3,8,2023-12-26,0.14,22,245,4,
36065939,新裝修豪宅獨立房間,116211186,Polly,,Sai Kung,22.30515,114.25352,Private room,626,1,3,2023-09-22,0.05,2,364,1,
36070339,Student hotel for 1 person_La Jardin,22037293,Vincent & Partners@La Boutique,,Yau Tsim Mong,22.30679,114.16659,Private room,400,30,5,2020-07-10,0.09,9,88,0,
36075722,Kowloon and Hongkong Side Sale Room,7518056,Jovee,,Wan Chai,22.25947,114.1899,Private room,160,29,0,,,225,364,0,
36096153,"1500-彌敦道328號,廟街夜市,市中心,佐敦站B1出口2分鐘,洗衣乾衣機,行李寄存位置,自助入住",46132766,Jordan,,Yau Tsim Mong,22.30598,114.1709,Entire home/apt,,1,0,,,22,0,0,
